arrival_date_month,hotel,count
April,City Hotel,7480
April,Resort Hotel,3609
August,City Hotel,8983
August,Resort Hotel,4894
December,City Hotel,4132
December,Resort Hotel,2648
February,City Hotel,4965
February,Resort Hotel,3103
January,City Hotel,3736
January,Resort Hotel,2193
July,City Hotel,8088
July,Resort Hotel,4573
June,City Hotel,7894
June,Resort Hotel,3045
March,City Hotel,6458
March,Resort Hotel,3336
May,City Hotel,8232
May,Resort Hotel,3559
November,City Hotel,4357
November,Resort Hotel,2437
October,City Hotel,7605
October,Resort Hotel,3555
September,City Hotel,7400
September,Resort Hotel,3108
